EKN	54.398647	-7.653608
EPM	51.319444	-0.371944
FFA	51.681692	-1.797614
FNL	52.741667	-0.027472
FOS	51.347411	-0.565428
FRK	51.347411	-0.565428
GAM	53.281389	-0.947222
GE	51.164439	-0.069133
GLG	55.924367	-4.336078
GLW	55.869772	4.433631
GOS	51.892197	-2.167928
GOW	55.870503	-4.445725
GRB	49.434522	-2.639461
GST	51.891958	-2.167903
GWC	50.855278	-0.756667
GY	51.130653	-0.315956
HAV	51.831878	-4.968089
HDW	51.832006	-4.970117
HEN	51.759722	-0.790278
HON	52.356667	-1.663611
INS	57.542625	-4.041542
IOF	58.829861	-3.145056
ISV	58.214383	-6.326047
ISY	55.682967	-6.249414
IVR	57.541508	-4.045967
IW	50.680822	-1.106033
KS	57.650408	-3.587042
KSS	57.659264	-3.535114
KW	58.959622	-2.911581
KWL	58.959672	-2.893947
LA	51.508342	-2.005872
LAM	51.646111	0.151667
LAY	55.682858	-6.249411
LBA	53.864992	-1.652889
LCY	51.50435	0.067503
LDY	50.959186	0.937478
LE	52.606389	-1.035
LEE	54.296667	-1.536667
LIC	52.746667	-1.719444
LKH	52.406419	0.547964
LND	50.136256	-5.636986
LNS	57.516517	-1.868314
LON	51.487222	-0.466667
LOO	54.050489	-1.249125
LSH	51.154722	0.648056
LUK	56.372814	-2.863669
LYD	50.999722	0.878611
LYE	51.510136	-1.992239
LYX	50.972164	0.955286
MAC	55.43	-5.650278
MAM	52.647333	0.553167
MAY	51.017222	0.116111
MCH	53.353297	-2.273025
MCT	53.356944	-2.262222
MID	51.053889	-0.625
MLD	52.36335	0.488269
ND	52.637167	-1.726806
NEW	55.038447	-1.698369
NGY	55.1775	-4.168611
NL	52.676422	1.384711
NN	52.298667	-0.7955
NOT	52.921694	-1.079333
NT	55.050383	-1.642683
OCK	51.305	-0.447222
ODH	51.2329	-0.948489
OF	51.521853	-2.590231
OTR	53.698333	-0.103611
OX	51.832481	-1.323239
OX	51.832433	-1.322817
OY	54.692647	-6.085358
PIK	55.506089	-4.577253
PMB	51.713667	-4.311131
POL	53.743889	-2.103333
